Token -> Lexema: const | Tipo: Palavra Reservada | Linha: 2 | Coluna: 1
Token -> Lexema: int | Tipo: Identificador | Linha: 2 | Coluna: 7
Token -> Lexema: constante1 | Tipo: Identificador | Linha: 2 | Coluna: 11
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 2 | Coluna: 22
Token -> Lexema: -5.0 | Tipo: Dígito | Linha: 2 | Coluna: 25
Token -> Lexema: ; | Tipo: Delimitador | Linha: 2 | Coluna: 28
Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 3 | Coluna: 1
Token -> Lexema: real | Tipo: Palavra Reservada | Linha: 3 | Coluna: 5
Token -> Lexema: c | Tipo: Identificador | Linha: 3 | Coluna: 10
Token -> Lexema: ; | Tipo: Delimitador | Linha: 3 | Coluna: 11
Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 4 | Coluna: 1
Token -> Lexema: int | Tipo: Identificador | Linha: 4 | Coluna: 5
Token -> Lexema: a | Tipo: Identificador | Linha: 4 | Coluna: 9
Token -> Lexema: , | Tipo: Delimitador | Linha: 4 | Coluna: 10
Token -> Lexema: b | Tipo: Identificador | Linha: 4 | Coluna: 12
Token -> Lexema: ; | Tipo: Delimitador | Linha: 4 | Coluna: 13
Token -> Lexema: funcao | Tipo: Palavra Reservada | Linha: 5 | Coluna: 1
Token -> Lexema: programa | Tipo: Palavra Reservada | Linha: 5 | Coluna: 8
Token -> Lexema: ( | Tipo: Delimitador | Linha: 5 | Coluna: 17
Token -> Lexema: ) | Tipo: Delimitador | Linha: 5 | Coluna: 18
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 5 | Coluna: 20
Token -> Lexema: leia | Tipo: Palavra Reservada | Linha: 6 | Coluna: 2
Token -> Lexema: ( | Tipo: Delimitador | Linha: 6 | Coluna: 7
Token -> Lexema: "escreva um valor" | Tipo: Cadeia de caracteres | Linha: 6 | Coluna: 8
Token -> Lexema: ) | Tipo: Delimitador | Linha: 6 | Coluna: 27
Token -> Lexema: ; | Tipo: Delimitador | Linha: 6 | Coluna: 28
Token -> Lexema: escreva | Tipo: Palavra Reservada | Linha: 7 | Coluna: 2
Token -> Lexema: ( | Tipo: Delimitador | Linha: 7 | Coluna: 10
Token -> Lexema: a | Tipo: Identificador | Linha: 7 | Coluna: 11
Token -> Lexema: ) | Tipo: Delimitador | Linha: 7 | Coluna: 12
Token -> Lexema: ; | Tipo: Delimitador | Linha: 7 | Coluna: 13
Token -> Lexema: leia | Tipo: Palavra Reservada | Linha: 8 | Coluna: 2
Token -> Lexema: ( | Tipo: Delimitador | Linha: 8 | Coluna: 7
Token -> Lexema: "escreva um valor" | Tipo: Cadeia de caracteres | Linha: 8 | Coluna: 8
Token -> Lexema: ) | Tipo: Delimitador | Linha: 8 | Coluna: 27
Token -> Lexema: ; | Tipo: Delimitador | Linha: 8 | Coluna: 28
Token -> Lexema: escreva | Tipo: Palavra Reservada | Linha: 9 | Coluna: 2
Token -> Lexema: ( | Tipo: Delimitador | Linha: 9 | Coluna: 10
Token -> Lexema: b | Tipo: Identificador | Linha: 9 | Coluna: 11
Token -> Lexema: ) | Tipo: Delimitador | Linha: 9 | Coluna: 12
Token -> Lexema: ; | Tipo: Delimitador | Linha: 9 | Coluna: 13
Token -> Lexema: c | Tipo: Identificador | Linha: 10 | Coluna: 2
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 10 | Coluna: 4
Token -> Lexema: a | Tipo: Identificador | Linha: 10 | Coluna: 6
Token -> Lexema: + | Tipo: Operador Aritmético | Linha: 10 | Coluna: 7
Token -> Lexema: b | Tipo: Identificador | Linha: 10 | Coluna: 8
Token -> Lexema: ; | Tipo: Delimitador | Linha: 10 | Coluna: 9
Token -> Lexema: leia | Tipo: Palavra Reservada | Linha: 11 | Coluna: 2
Token -> Lexema: ( | Tipo: Delimitador | Linha: 11 | Coluna: 7
Token -> Lexema: "a soma eh" | Tipo: Cadeia de caracteres | Linha: 11 | Coluna: 8
Token -> Lexema: c | Tipo: Identificador | Linha: 11 | Coluna: 20
Token -> Lexema: ) | Tipo: Delimitador | Linha: 11 | Coluna: 22
Token -> Lexema: ; | Tipo: Delimitador | Linha: 11 | Coluna: 23
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 12 | Coluna: 1

Sucesso! Não existem erros léxicos
