Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 1 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 1 | Coluna: 5
Token -> Lexema: a | Tipo: Identificador | Linha: 1 | Coluna: 13
Token -> Lexema: ; | Tipo: Delimitador | Linha: 1 | Coluna: 14
Token -> Lexema: const | Tipo: Palavra Reservada | Linha: 2 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 2 | Coluna: 7
Token -> Lexema: b | Tipo: Identificador | Linha: 2 | Coluna: 15
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 2 | Coluna: 17
Token -> Lexema: 50 | Tipo: Numero | Linha: 2 | Coluna: 19
Token -> Lexema: ; | Tipo: Delimitador | Linha: 2 | Coluna: 21
Token -> Lexema: funcao | Tipo: Palavra Reservada | Linha: 3 | Coluna: 1
Token -> Lexema: f1 | Tipo: Identificador | Linha: 3 | Coluna: 8
Token -> Lexema: ( | Tipo: Delimitador | Linha: 3 | Coluna: 10
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 3 | Coluna: 11
Token -> Lexema: v | Tipo: Identificador | Linha: 3 | Coluna: 19
Token -> Lexema: , | Tipo: Delimitador | Linha: 3 | Coluna: 20
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 3 | Coluna: 22
Token -> Lexema: s | Tipo: Identificador | Linha: 3 | Coluna: 30
Token -> Lexema: ) | Tipo: Delimitador | Linha: 3 | Coluna: 31
Token -> Lexema: ; | Tipo: Delimitador | Linha: 3 | Coluna: 32
Token -> Lexema: funcao | Tipo: Palavra Reservada | Linha: 4 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 4 | Coluna: 8
Token -> Lexema: f2 | Tipo: Identificador | Linha: 4 | Coluna: 16
Token -> Lexema: ( | Tipo: Delimitador | Linha: 4 | Coluna: 18
Token -> Lexema: ) | Tipo: Delimitador | Linha: 4 | Coluna: 19
Token -> Lexema: ; | Tipo: Delimitador | Linha: 4 | Coluna: 20
Token -> Lexema: programa | Tipo: Palavra Reservada | Linha: 5 | Coluna: 1
